Britain|Albion,Blighty
complex|Gordian,aggregation,fiddly,involuted,multiplex,neurosis,preoccupation,problematical,tissue
complexion|countenance,interpretation,mold,pigmentation,sort
complexity|convolutedness,entanglement
compliance|acceptance,passivity
compliant|adaptable,manipulable,milky,persuasible
complicate|embarrass,embroil,ravel
complicated|Gordian,fiddly,involuted
complication|elaboration,facer,hitch,impediment,muddle
complicity|abetment,conspiracy
compliment|ballyhoo,commendations,devoirs,emblazon,encomium,eulogium,eulogy,extol,felicitate,felicitations,kudos,remembrances
complimentary|adulatory,comp,courtesy,laudative,rave,sugary
component|ingredient,integral,integrant,intrinsic,item,portion
compose|comprise,concoct,draft,indite,verse
composed|chilled,equanimous,imperturbable,nonplussed,unagitated
composer|songsmith,writer
composite|alloy,complex,conglomeration,hybrid,synthesized
composition|admixture,arrangement,compilation,construction,drama,layout,opera,picture,setup,symmetry,task,theme
composure|assurance,ataraxia,tranquility,unexcitability,unflappability
compound|alloy,combined,commingle,complex,complicate,consolidation,hybrid,intermingle,magnify,mash-up
comprehend|contain,cover,divine,penetrate,savvy,suss
comprehensible|accessible,graspable
comprehension|discernment,interpretation
comprehensive|broad-ranging,coast-to-coast,compendious,complete,eclectic,multidisciplinary,wall-to-wall,wholesale
compress|coarctate,compact,constrict,crimp,digest,epitomize,pucker,squidge,telescope,truncate,wedge
comprise|compose,comprehend,cover,include,incorporate
compromise|accommodation,balance,bargain,cooperation,embarrass,imperil
compulsion|addiction,drive,intimidation,jones,pull
compulsive|besetting,dependent,entrancing,hooked,neurotic,persistent,ungovernable,unputdownable
compulsory|enforceable,prescribed,set
compunction|penitence,reservations
compute|cast,measure,totalize
computer|Mac,handheld,lappy,supercomputer
compère|announcer,presenter
comrade|ally,bro,compeer,confrère,consociate,crony,friend,officemate,oppo
concatenation|nexus,progression,succession
concave|incurvate,recessed,sunken
conceal|bury,enshroud,shroud,veil
concealed|obscured,privy,unnoticeable
concealment|camouflage,misprision,seclusion,secrecy,secretion,suppression,whitewash
concede|agree,confess,sacrifice
conceit|complacency,egomania,fancy,immodesty,reverie,uppitiness,vainglory,witticism
conceited|chesty,egomaniac,peacockish,snobbish,snot-nosed,strutting,toffee-nosed,vainglorious
conceivable|admissible,cogitable,comprehensible,mortal,possible
conceive|apprehend,contrive,evolve,ideate
concentrate|amass,apozem,compress,concenter,extract,quintessence,rally,strengthen
concentrated|all-out,assiduous,dense,undiluted
concentration|agglomeration,collection,direction,engrossment
concept|conceptualization,picture,postulation
conception|abstraction,apprehension,fecundation,idea,inkling,insemination,invention,origin,outline,picture,postulation
concern|agitation,analyze,bailiwick,caringness,concernment,consideration,disquiet,importance,lookout,occupation,regard,setup,sphere,syndicate,worriment
concerned|affected,agitated,caring,implicated,unquiet
concert|concertedly,presentation,recital
concerted|all-out,concentrated,synergetic
concession|authorization,cession,confession,decrease,exception,favor,handover,modification,rebate,sop
conciliator|appeaser,dove
conciliatory|irenic,reconciliatory
concise|aphoristic,crisp,lapidary,snappy,sparing
conclave|forgathering,get-together
conclude|cease,collect,culminate,decide,dissolve,figure,reckon,surmise
conclusion|cessation,coda,determination,epilogue,reasoning,resolution,surmise
conclusive|resounding,thundering,uncontroversial,watertight
concoct|assemble,cook,forge,scheme
concoction|compound,contrivance,creation,hybrid,mash-up,potion
concomitant|auxiliary,consequent,linked
concord|concert,oneness,settlement
concourse|hall,plaza
concrete|definitive,existing,tangible
concubine|leman,lorette,lover
concupiscence|nympholepsy,passion,prurience
concur|clash,coexist
concurrent|coexistent,intersecting,synchronous
concussion|shaking,shock
condemn|anathematize,assign,blast,criticize,disparage,implicate,inculpate,predoom,reprobate
condemnation|disapprobation,objurgation,opprobrium
condemnatory|reprobatory,unfavorable,withering
condemned|accursed,bad,deteriorated,faulted,treacherous
condensation|deliquescence,distillation,encapsulation,steam,summarization
condense|curtail,encapsulate,epitomize,liquidize,telescope
condensed|reduced,thumbnail,truncated,undiluted
condescending|imperious,stuck-up,toffee-nosed
condescension|patronization,snobbery,snottiness
condition|bias,circs,decide,decrepit,fettle,inure,lurgy,nick,order,qualification,restriction,season,surroundings,upset,virus
conditional|provisional,provisory
condom|Femidom,johnny,prophylactic,protection,protective,skin
conducive|convenient,encourage
conduct|assist,convoy,deportment,manners,mediate,prosecution,radiate
confectionery|sweeties,sweetmeats,sweets
confederacy|axis,fellowship,ring,sodality
confederate|amalgamated,colleague,offsider,oppo
confederation|ring,sodality,union
confer|confabulate,palaver,powwow
conference|awayday,confab,confabulation,palaver,tête-à-tête
confess|cough,discover
confide|admit,discover,spill,tell
confidence|conviction,dependence,fortitude,intimacy
confident|equanimous,laid-back,nonplussed,persuaded,positive,sanguine
confidential|mum,privy,quiet,unpublished
configuration|alignment,format,mold,profile
confine|compass,corral,kettle,limit,trap
confined|incapacious,meager,strait
confinement|birthing,corralling,durance,encompassment,immurement,nativity,parturition,quarantine,thrall,travail
confines|marches,pale
confirm|accept,guarantee
confirmation|acceptance,evidence
confirmed|card-carrying,incurable,rooted,steadfast
confiscate|annex,disseize,poind
confiscation|annexation,disseisin,forfeiture,poinding
conflict|collide,contention,dissension,hostilities,rencounter,schism,scrap,strife
conflicting|contrasting,oppugnant
confluence|sangam,watersmeet
conformist|puppet,reactionary,yes-man
conformity|equivalence,nearness,reaction,semblance,similitude,symmetry
confound|buffalo,confuse,destroy,falsify,fog,negative,nonplus,obfuscate,pose
confront|assault,collar,discommode,face,halt,harrow,manage,nobble,tax
confrontation|afters,rencounter,showdown,warring
confuse|buffalo,confound,embroil,floor,obfuscate,pose
confused|astounded,bushed,confuddled,distracted,higgledy-piggledy,remote
confusing|Byzantine,contradictory,disconcerting,wildering
confusion|astonishment,devastation,disarrangement,discombobulation,disconcertion,entropy,ignorance,incertitude,muddle,shambles
congeal|concentrate,fix,inspissate
congenial|favorable,good-natured,hospitable,simpatico
congenital|complete,connatural,deep-seated,hopeless,obsessional,unrepentant
congested|jam-packed,overloaded
congestion|bottleneck,gridlock,overcrowding,snarl-up,stuffing
conglomerate|agglomerate,combined,commingle,homogenization,hotchpotch,mash-up,multinational,zaibatsu
conglomeration|agglomeration,amassment,combination
congratulate|ballyhoo,emblazon,felicitate
congratulations|eulogium,felicitations,homage,kudos,testimonial
congregate|foregather,group
congregation|assemblage,conventicle,get-together,mob,souls
congress|conclave,conventicle,house
congruence|concert,congruity,consilience
conical|conoid,funnel-shaped,pointy
conjectural|abstract,postulational,tentative,unsubstantiated
conjecture|projection,suppose,supposition,theorizing
conjugal|bridal,epithalamic,spousal
conjunction|juxtaposition,synchrony
conjure|awaken,generate,recreate,suggest
conjuring|hocus-pocus,prestidigitation
conjuror|illusionist,prestidigitator
connect|chain,compare,concatenate,couple,solder,subjoin
connection|analogy,anent,coupling,kinswoman,re,relevance,sponsor
connivance|abetting,condonation
connive|complot,scheme
conniving|Janus-faced,disingenuous,foxy,slick,slim,subtle
connoisseur|aesthete,buff,gastronome,maven
connotation|insinuation,subcurrent
conquer|crest,lick,own,rout,slam,stuff,tank,win
conqueror|conquistador,master,subjugator
conquest|crushing,girlfriend,leman,massacre,overrunning,prize,scaling,swain,worshipper
conscience|beliefs,qualms
conscience-stricken|compunctious,sheepish,sorry
conscientious|particular,strict
conscious|aforethought,prepense,sentient,strategic,volitional
conscript|draft,impress,levy,muster,recruit
consecrate|frock,sacrifice
consent|OK,accord,approbation
consequence|byproduct,issue,payoff,sequelae,seriousness,success
consequent|concomitant,consequential,linked,sequential
consequential|concomitant,consequent,linked,sequential,serious
consequently|ergo,necessarily
conservation|environmentalism,restoration,supervision
conservative|Republican,Tory,alt-right,demure,diehard,establishment,gammon,hidebound,neocon,paleo-conservative,reactionary,reasonable,righty,straight,temperate,traditionalist,true-blue
conservatory|belvedere,hothouse
conserve|confiture,nurse,perpetuate
consider|clock,esteem,eyeball,find,inspect,review
considerable|OK,generous,great,illustrious,noticeable,plenteous,significant
considerably|seriously,signally
considerate|diplomatic,generous,patient
consideration|determinant,discretion,discussion,dividend,friendliness,mindfulness,perquisite,regard
consign|bequeath,commend,relegate,sentence,ship
consignment|cargo,goods,lorryload
consolation|alleviation,fortification,solace
console|cabinet,dash,keypad
consolidate|enhance,unify
consonance|conformity,congruence
consort|helpmeet,wife
conspicuous|detectable,inescapable
conspiracy|collaboration,covin,treason
conspirator|cabalist,traitor
conspire|cabal,coact,cooperate
constancy|devotion,endurance,obstinacy,persistence,steadiness,trustworthiness
constant|boon,committed,given,immutable,round-the-clock,sempiternal,unrelieved,unshaken,unwavering
constantly|24/7,aye,forever,regularly,sempiternally,unrelentingly
consternation|shock,stupefaction,trepidation
constituent|element,inherent,integral,integrant,portion
constitute|decree,represent,shape
constitution|design,fettle,regs,setup
constitutional|built-in,essential,hike,official,paseo,passeggiata,perambulation,permissible,pootle,promenade,tootle
constrain|browbeat,intern,require,trammel
constrained|labored,standoffish,tongue-tied
constraint|embarrassment,handicap,rein,stand-offishness,stiltedness
constrict|curb,straiten,strangulate
constriction|congestion,cramp,squeezing,stenosis,straitening,strangulation
construct|frame,hatch,make
construction|framework,impression,making,organization,take
constructive|advantageous,encouraging
consult|confabulate,negotiate,parley
consultant|counselor,hotshot,maven,pundit,specialist
consultation|colloquy,confab,confabulation,deliberation,engagement,forum
consume|devastate,dominate,engross,exhaust,expend,gorb,ingurgitate,kill,lap,manducate,wreck
consumer|patron,shopper
consuming|besetting,deep-seated,dominating
consummate|achieve,effectuate,first-class,practiced,quintessential,sheer
consummation|attainment,perfection,performance,success
consumption|dissipating,emaciation,exhaustion,expenditure,imbibing,manducation,phthisis
contact|association,dealings,friend,tangency,touching,traffic
contagion|blight,virus
contagious|catching,epizootic,infective,spreadable
contain|embody,seat
contaminate|adulterate,befoul,poison,radioactivate,tarnish,vitiate
contemplate|behold,visualize
contemplation|cerebration,eyeing,introspection
contemporary|coetaneous,coeval,coexistent,extant,fellow,simultaneous
contempt|contumacy,contumely,hatred,neglect,ridicule,scornfulness
contemptible|offensive,scurvy,villainous
contemptuous|contumelious,snide,vain
contend|clash,contest,plead,withstand
content|divisions,ideas,index,innards,items,load,quantum,quota,text
contented|complacent,delighted,fulfilled,pleased
contention|allegation,feuding,postulation,statement,variance,vying,warring
contentious|battling,borderline,choleric,committed,controvertible,litigious,scrappy,stroppy,vexed,wrangling
contentment|complacency,fulfillment,gratification,self-content
contest|doubt,litigate,meet,race
contestant|antagonist,entrant
context|feel,scene,topic
contiguous|close,next-door,proximate,vicinal
contingency|emergency,fortuity,uncertainty
contingent|cohort,conditional,gang,haphazard,mission,set,unlooked-for
continual|everlasting,interminable,nonstop,regular
continually|24/7,constantly,eternally,nonstop
continuance|perpetuation,protraction,term
continuation|addition,perpetuation,protraction,recommencement,renewal
continue|abide,perpetuate,pursue,recommence,retain,subsist,survive
continuity|coherence,progression,wholeness
continuous|interminable,running
contort|deform,distort,pretzel,quirk
contour|figure,form,lineation,profile
contraband|bootlegging,hot,interdicted,unlawful
contract|account,bargain,bond,corrugate,engage,engagement,entente,exit,indenture,narrow,pucker,shrivel,truncate
contraction|clench,constricting,cramps,diminutive,downtick,dwindling,elision,hippus,labor,shrinkage,syneresis,travail
contradict|belie,counter,gainsay,impugn,negate,negative
contradiction|antilogy,confutation,gainsaying,negation,opposite,variance
contradictory|backasswards,different,incongruous,paradoxical,repugnant
contraption|bitzer,contrivance,doohickey,gubbins,thingo,whatsit
contrary|antipathic,antithesis,backasswards,balky,contrariety,contrarious,contumacious,counter,cross-grained,cussed,incongruous,instead,intractable,irreconcilable,repugnant,stroppy,thrawn
contrast|antithesis,beside,complement,differentiation,however,juxtapose,polarity,unlikeness
contravene|flout,infract
contravention|delict,dereliction
contretemps|afters,barney,difficulty,dissension,fight,rammy,spat
contribute|accord,confer,furnish
contribution|allowance,alms,donative,endowment,handout,subscription
contributor|angel,freelance,penman,philanthrope,philanthropist,reviewer,scribbler,sponsor,subscriber
contrite|compunctious,hangdog
contrition|compunction,rue,sorriness
contrivance|bitzer,doohickey,expedient,fetch,gubbins,invention,lurk,thingo,whatsit,wheeze,wile
contrive|arrange,compass,create,hatch,procure
contrived|elaborate,fakey,far-fetched,hokey,unnatural,voulu
control|adjust,bolshie,check,constrain,contumacious,cool,coolness,countenance,dash,dashboard,govern,hegemony,influence,lever,oversight,prepollency,regulation,rein,self-discipline,steer,undisciplined
controversial|controvertible,problematic,tendentious
controversy|bickering,polemic,row,storm,velitation
contumely|billingsgate,bitchiness,discourtesy,vilification
contusion|ecchymosis,injury,lump,mouse
conundrum|anagram,brain-twister,cruncher,dilemma,mystery
convene|convoke,foregather,hold,muster,order
convenience|advantage,appurtenance,benefit,fittingness,functionality,machine,nearness,propinquity,satisfaction,timeliness
convenient|agreeable,expedient,labor-saving,seasonable,serviceable,user-oriented
convent|beguinage,cloister
convention|arrangement,ceremonial,chapter,colloquium,deal,entente,get-together,moeurs,mores,norm,pact,praxis,punctilio
conventional|Biedermeier,common,customary,formalistic,fuddy-duddy,hacky,narrow-minded,platitudinous,staid,unexceptional
converge|coincide,merge
conversation|adda,confabulation,conference,converse,convo,crack,gabfest,korero,powwow,rabbit,schmooze,yarn
conversational|friendly,idiomatic,talky,voluble
converse|antithesis,antithetical,differing,inverse
conversion|customization,proselytization,reformation,rehabilitation,revamping,transmogrification
convert|catechumen,customize,permute,proselyte,rehab,rehabilitate,rehash,remold,revamp,translate,transmogrify,turn
convertible|drophead,exchangeable,modifiable,targa
convex|cambered,curvilinear,gibbous,outcurved,protuberant
convey|conduct,deed,devise,dispatch,divulge,lease,transfer
conveyance|bequest,cession,conveying,delivery,demise,devolution,expression,freightage,lorry,motorcycle
convict|crook,felon,inmate,lighty,transport,trusty,yardbird
conviction|dogma,judgment,positiveness,stance
convince|inveigle,reassure,sway
convincing|colorable,probable,resounding,unassailable
convivial|buddy-buddy,conversable,couthy,festive,hail-fellow-well-met,matey,pally
conviviality|bonhomie,companionability,festivity
convocation|caucus,colloquium,diet,get-together
convoke|call,order
convoluted|Gordian,involute,perplexing,plotty
convolution|contortion,convolutedness,gyrus,involution,sinuosity
convoy|crocodile,defend,flank,procession,usher
convulsion|chaos,ictus,stitches,storm,throes
cook|bake,fiddle,forge,misrepresent,scheme
cooking|baking,cookery,food
cool|bindaas,brisk,chill,chilled,cold,coldness,collectedness,crispness,criss,designer,drafty,emotionless,equanimous,fashion-forward,gelid,negative,nerveless,nippy,now,parky,poised,settle,stolid,unabashed,unenthused,untroubled,wane
coop|enclose,lockup,mew,parrock,trap
cooperation|coaction,compromise,ministrations,participation,relations
cooperative|coactive,game,harmonious,indulgent,responsive,suasible
coordinate|coact,concert,dovetail,liaise,systematize
cop|bilk,cut,duck-shove,funk
cope|beat,swallow
copious|galore,innumerable,lank,myriad,plenteous,teeming
copse|boscage,brake,brush,spinney
copulate|breed,know,nail,podger,root,service,tumble,tup
copulation|breeding,commerce,fornication,fucking,nookie,pata-pata,shagging
copy|bootleg,clone,dummy,dupe,example,features,issue,lift,mimeo,monkey,photostat,pinch,replicate,reproduce,transcript
coquettish|philandering,vampish
cord|braiding,creance,fillis,ligature
cordial|concentrate,eager,overpowering,passional,passionate,welcoming
cordon|blockade,circle,crocodile,quarantine,surround
core|basics,basis,bosom,depths,essential,innards,meat,midst,number-one,underpinning
cork|covering,seal,stopple
corner|alcove,ambuscade,ambush,apse,capture,comess,cusp,engross,hideout,hidey-hole,how-do-you-do,indentation,intersection,part,surround
corny|bromidic,cheesy,choking,hokey,soppy,toe-curling,twee
corollary|correlate,externality
coronet|coronal,wreath
corporal|somatic,substantial
corporate|cooperative,house
corporation|authorities,multinational,setup
corporeal|concrete,earthly
corps|cohort,force,pack,posse
corpse|corse,relics,skeleton,stiff
corpulence|blubber,embonpoint,fubsiness,meatiness,paunch
corpulent|abdominous,corn-fed,elephantine,lard-arsed,nuggety,poddy,pursy,pyknic
correct|OK,appraise,apt,castigate,meticulous,neutralize,orthodox,overhaul,rework
correction|discipline,reparation,reprimand,tweaking
corrective|ameliorative,castigative,reformatory
correctly|aptly,aright
correlate|dovetail,jibe,parallel,quadrate,square
correlation|concurrence,interaction
correspond|betoken,indicate,parallel,quadrate,square
correspondence|coincidence,interaction,missives,post
correspondent|chronicler,commensurate,communicator,journo,newsy,penfriend,pressman,roundsman,wireman
corresponding|commensurable,matching
corroboration|substantiation,weight
corrode|dissolve,oxidate,spoil,tarnish
corrosive|alkali,consumptive,stinging
corrugated|rumpled,striated
corrupt|cook,demoralize,distort,distorted,dodgy,fiddle,hollow-hearted,impure,infected,influence,iniquitous,low,malfeasant,nobble,scandalous,scoundrelly,sordid,square,taint,vitiate,warped
corruption|impurity,knavery,lechery,malversation,misapplication,misfeasance,palm-greasing,payola,profiteering,vileness,villainy,vitiation
corsair|privateer,scummer
corset|corselette,roll-on,stays,truss,waspie
cortège|crocodile,march-past,retainers,troop
coruscating|bright,clever,exciting,invigorating,scintillant,shimmery
cosmetic|beautifying,external,maquillage,nonmedical,optional,slap
cosmic|astronomic,boundless,ginormous,otherworldly,worldwide
cosmopolitan|cool,refined,universal,unprejudiced
cosset|cocker,feather-bed,spoil
cost|be,damage,deprivation,disbenefit,evaluate,loss,payments,price,rental,worth
costly|direful,exquisite,extravagant,pricey,unfortunate
costume|apparel,bikini,habiliments,habit,regalia,rig-out,robes,suit,swimmers,threads
coterie|cell,push
cottage|abode,bothy,bower,cot,crib,dacha,gîte,retreat,rondavel,semi,shanty,weekender
couch|ottoman,put-you-up,sectional,squab,tête-à-tête,voice
council|cabinet,chapter,convocation,corporation,delegation,gathering
counsel|advocate,attorney,brief,caution,confabulation,conversation,counselor-at-law,data,enlightenment,negotiations
counselor|confidante,healer,specialist
count|KO'd,add,apprehend,esteem,ignore,incorporate,insentient,register,soporous,whole
countenance|approbate,bake,bear,clock,coupon,front,lineaments,mien,pan,phiz,profile,thole
counter|conversely,counteract,differing,gainsay,negate,negative
counteract|invalidate,negative,remedy
counterbalance|counteract,negative
counterfeit|cod,dupe,ersatz,fugazi,pirate,pseudo,sham
countermand|disannul,recall,vitiate
counterpane|bedcover,comforter,kaross,quilt
counterpart|coequal,correlative,duplicate
countless|divers,lank,multifarious,unnumberable
countrified|country,exurban,sylvan,unspoiled
country|Arcadian,birthplace,booay,bucolic,collective,commonwealth,environment,exurban,farming,hicksville,hinterland,indigenes,parts,platteland,ratepayers
countryman|bogman,bucolic,contadina,cottier,countryfolk,fellah,kulak,ocker,paisano,paysan,provincial,rube,ryot
countryside|environment,hicksville,parts
countrywoman|bucolic,bushy,contadina,countryfolk,culchie,fellah,kulaka,paisana,paysanne,provincial,rube,ryot
county|demesne,posh,state,upmarket,zone
coup|jacquerie,putsch,riot,scoop
couple|ally,chain,cohabitees,concatenate,conjoin,doubleton,item,match,solder,subjoin,twain,twins,twosome,yoke
coupon|carnet,chitty,comp,docket
courage|balls,ballsiness,boldness,gallantry,gameness,resolution,sand
courageous|audacious,death-or-glory,have-a-go,rock-ribbed,venturous
courier|dragoman,estafette,herald,pursuivant
course|bed,circus,cirque,dog,eventually,natch,praxis,proceeding,regimen,roll,run,schedule,sloosh,studies,sweep,tail,trail
court|addresses,alcazar,arcade,arena,assizes,blandish,bodyguard,brown-nose,château,close,courtroom,esplanade,followers,hall,lapa,palazzo,park,patio,piazza,quad,schloss,seraglio,spark
courteous|decent,diplomatic,gallant,genteel,mannerly
courtesy|couth,decency,diplomacy,permission
courtier|follower,liegeman,squire,train-bearer
courtly|couth,debonair,gentle,proper
courtship|addresses,blandishments
courtyard|arcade,lapa,patio,piazza,precinct,quad
cove|anchorage,lough
covenant|commitment,engage,warrant
cover|alibi,assurance,assure,besmear,boards,cap,case,compensation,consider,coppice,counterpane,cowling,eiderdown,enshroud,envelop,feint,frith,hide,immerse,indemnify,jungle,linen,overspread,package,packaging,pave,plants,protect,rone,sanctuary,shelter,shin-tangle,shroud,smother,submerge,tarpaulin,underscrub,understudy,verdure,wrapper
cover-up|mask,pretext
coverage|commentary,presentation,stories
covering|associated,cap,descriptive,housing,shroud
coverlet|afghan,comforter,counterpane,eiderdown,quilt
covert|black,hush-hush,private,underground,underhand
covetous|begrudging,grabby,green-eyed,selfish
covey|cluster,crew,gathering
cow|petrify,railroad
coward|caitiff,cuck,funk,milksop,sook
cowardice|cravenness,feebleness,recreancy,sissiness,wetness
cowardly|candy-assed,chickenshit,craven,poor-spirited,sissified,soft,wet
cowboy|bodger,broncobuster,buckaroo,bumbler,herd,rancher,vaquero
coy|demure,skittish
coyness|demureness,skittishness
cozy|agreeable,friendly,homely,homestyle,mellow,snuggly
crabbed|choleric,cranky,indecipherable,miffy,peckish,querulous,snaky
crabby|choleric,cranky,miffy,peckish,querulous,snaky
crack|aphorism,assay,banter,box,buffet,clap,cleave,clobber,compleat,crackerjack,craze,crazing,deadly,detonate,dig,disintegrate,dong,elucidate,essay,extirpate,fine,founder,habile,insinuation,interstice,practiced,shit-hot,slosh,smack,venture,versed,whale,whirl,whomp,whump,wizard
cracked|bushed,crazed,imperfect,nutso,porangi,slit,wacko,yarra
crackle|crepitate,decrepitate,sputter
cradle|carrycot,chassis,commencement,germ,outset,protect,radix,wellspring
craft|barque,kite,spaceship
craftsman|artificer,artist,handicraftsman,journeyman
craftsmanship|mastery,work
craftswoman|artificer,artist,handicraftswoman,wright
crafty|canny,evasive,foxy,slim,subtle
crag|eminence,headland,overhang,pinnacle,scarp
craggy|masculine,rock-bound,weathered
cram|bang,overload,revise,stuff,throng,thrust
cramp|hyperkinesis,stymie,twinge,twitch
cramped|congested,constricted,inadequate,incommodious,indecipherable,strait
cranium|brain,brainpan,head
crank|case,dingbat,lunatic,maniac,maverick,nutter,radge,wackadoodle,wacko,zealot
cranky|absurd,cross-grained,cuckoo,daft,dilly,left-field,ludicrous,miffy,peevish,short-fused,snaky,soreheaded
crash|RTA,bump,clang,dash,derailment,din,flatline,impact,pitch,prang,ruination,shot,shunt,shutting,smack,smash,total,urgent,whump,wreck,panic
crass|gross,naked,pig-ignorant
crate|lug,receptacle
crater|pocket,solfatara
craven|candy-assed,chickenshit,poor-spirited,sissified,soft,wet
craving|cacoethes,goal,itch
crawl|blandish,sneak
craze|rage,thing
crazy|bushed,cock-eyed,crazy-ass,distracted,excited,fervently,gonzo,grotesque,half-baked,hastily,implausible,monstrous,porangi,potty,risible,unrealistic,wackadoodle,yarra
creak|complain,grate,scrape
cream|A-list,cherry-pick,nonpareil,pearly,pomade,unction
creamy|buttery,pearly
crease|corrugation,fold,furrow,ruckle,tuck
create|beget,birth,designate,drop,enkindle,hatch,inspire,invest,produce
creation|begetting,birthing,brainchild,dropping,erecting,hatching,inauguration,institution,masterwork,number,opuscule,outfit,procreation
creative|fertile,genius,original,smart,visionary
creativity|enterprise,individuality
creator|begetter,developer,mother
creature|bod,brute,bugger,cove,critter,dog,dupe,gal,girl,gofer,organism,skivvy,soul,thing,vassal,wight,yes-man
credence|believability,traction
credentials|documentation,title
credibility|acceptability,character,clout,factualness,soundness,veridicality
credible|cogitable,maintainable,persuasive,valid
credit|acceptability,appreciation,clout,confidence,estimation,eulogium,impute,izzat,rap,report,reputability,solvency,treasure,tributes
creditable|applaudable,beaut,bully,first-class,grand,sterling,tip-top,top-hole
credulous|ignorant,nescient,unquestioning
creed|church,credo,laws,sisterhood
creek|armlet,backwater,frith,ria,sound,voe
creep|blandish,brown-nose,brown-noser,bum-sucker,dingo,fink,hound,reprobate,rotter,scoundrel,shit,sleeveen,suckhole,swine,toad-eater,wastrel,yes-man
creepy|eldritch,ghostly,hairy,threatening
crescent|crook,lunula,semicircle
crest|caruncle,charge,mane,serac,shield,tassel,tor,zenith
crestfallen|chapfallen,defeated,dolorous
crevice|foramen,groove,perforation,scission
crew|collection,hands,posse,staff,tribe
crib|accommodation,bootleg,bungalow,bunker,carrycot,cot,dupe,flat,guide,imitation,lift,monkey,pad,pinch,place,receptacle
crick|ache,impair,rick,soreness
crime|affront,corruption,dodginess,injury,knavery,malefaction,malversation,tort,trespass
criminal|agroterrorist,baddie,cracksman,crim,defalcator,dirty,dodgy,egregious,fraudulent,holdupper,infractor,iniquitous,lighty,malfeasant,proscribed,scandalous,sinner,tief,transport,unacceptable,yakuza,yegg
crimp|gather,ruckle,wave
cringe|blandish,brown-nose,cower,quake
crinkle|ruckle,rumple
cripple|break,debilitate,hamstring,pauperize,torpefy
crisis|Rubicon,crunch,difficulty,disaster,drama,stress
crisp|abrasive,chill,chilly,elliptical,frangible,gnomic,hard,nippy,parky,sharp,snappy,sparing,spiffy,straightforward,tonic,trig,unwithered
critic|asperser,belittler,exegete,expounder,judge,nitpicker,speaker
critical|bellyaching,dodgy,egregious,elucidative,exigent,iffy,life-threatening,momentous,niggling,parlous,pass-remarkable,pernickety,persnickety,profound,reprobative,unsympathetic
criticism|arraignment,cavilling,chiding,contumely,judgment,notation,notes,scholia,slating,sledge,smears
criticize|bag,crucify,excoriate,rate,reprehend,reprobate,rubbish,sledge,slur
critique|anatomization,crit,exegesis,write-up
croak|cluck,cough,decease,exit
crock|OAP,ancient,creamer,cups,ewer,geriatric,jorum,repository,reservatory,stoneware
crockery|delph,dinnerware,saucers,tableware
crony|bro,consociate,coworker,cully,gabba,galdem,homegirl,marra,offsider
crook|bow,cracksman,crim,defalcator,flexure,holdupper,hustler,infractor,intersection,lighty,rapist,sinner,tief,transport,yakuza,yegg
crooked|anfractuous,cock-eyed,curved,disfigured,dodgy,fraudulent,hooked,irregular,malfeasant,nefarious,squiffy,squint,thrawn,tricky,underhand
croon|quaver,troll
crop|befall,cull,detach,eat,fruits,garnering,gula,hap,intake,mow,pharynx,pluck,ruminate,shave,stick,throat,tonsure
cross|adversity,albatross,blend,conglomerate,controvert,cover,crook,cumber,cur,dele,ford,gainsay,hardship,headache,intertwine,mardy,obliterate,pissed,resentful,rood,torment,vex,waspish,waxy,wroth
cross-examine|catechize,debrief
cross-grained|balky,contrarious,contumacious,cussed,intractable,stroppy,thrawn,wayward
crossing|interchange,journey,sail
crosspatch|carper,crank,melancholiac,sorehead,whinger
crotchet|idiosyncrasy,megrim,singularity,thing
crotchety|iracundulous,miffy,quarrelsome,snaky,soreheaded
crouch|huddle,scooch
crow|croak,flaunt,gasconade,roister,skite
crowd|accumulate,bounce,bulldoze,concourse,confraternity,congregation,coterie,cram,faction,fast-talk,foregather,gaggle,gate,plague,punters,rout,shower,stalls,strong-arm,tribe
crowded|busy,chocker,mobbed,wall-to-wall
crown|conclude,coronal,floor,headband,kudos,overlord,overtop,prize,quilt,ridge,royals,royalty,serac,smash,stun,swinge,taj,whale
crucial|life-and-death,requisite,searching
crucify|bag,marmalize,martyr,monster,own,rate,reprehend,reprobate,rout,skewer,slur,torture,trash
crude|adult,gamy,locker-room,plain,rude,scatological,scurrilous,undeveloped,unprepared,untreated
crudity|gaminess,inaccuracy,offensiveness,porn,rudeness,sauciness
cruel|beastly,distressful,draconian,excruciating,fierce,mean,sanguinary
cruelty|abuse,ferity,fierceness,inclemency,misery,wretchedness
cruise|journey,passage,sail,swan,tootle
crumb|scruple,soupçon,stim,tad,vestige
crumble|comminute,fragment,powderize
crumbly|brashy,crispy,granular,short
crummy|crappy,direful,egregious,execrable,grotty,insufficient,tenth-rate,unacceptable
crumple|ruckle,scrumple,squeeze,tumble
crunch|chumble,consume,masticate,showdown,smash
crusade|lobby,offensive,promote,struggle
crusader|battler,enthusiast,reformer
crush|clutch,comminute,compress,congestion,drink,enfold,huddle,kibble,mangle,marmalize,mash,mob,overwhelm,own,pestle,powderize,rout,ruckle,shatter,skunk,smush,splat,splinter,squash,subdue
crust|caking,concretion,exterior,remnant,scab,skin
crusty|captious,cross-grained,friable,short-fused,snaky,soreheaded
